cell,batch,duration_ns
moves/census/ADD/groups/upper/full,13,156908863
moves/census/ADD/groups/upper/full,14,157362879
moves/census/ADD/groups/upper/full,15,157792135
moves/census/ADD/groups/upper/full,16,157715023
moves/census/ADD/groups/upper/full,17,157260027
moves/census/ADD/groups/upper/full,18,155453094
moves/census/ADD/groups/upper/full,19,159527880
moves/census/ADD/groups/upper/full,20,160968236
moves/census/ADD/groups/upper/full,21,164458831
moves/census/ADD/groups/upper/full,22,155798803
moves/census/ADD/groups/upper/full,23,157215942
moves/census/ADD/groups/upper/full,24,158562228
moves/census/ADD/groups/upper/full,25,166968611
moves/census/ADD/groups/upper/full,26,161236738
moves/census/ADD/groups/upper/full,27,155435049
moves/census/ADD/groups/upper/full,28,159290921
moves/census/ADD/groups/upper/full,29,167768405
moves/census/ADD/groups/upper/incremental,0,157452938
moves/census/ADD/groups/upper/incremental,1,165878156
moves/census/ADD/groups/upper/incremental,2,164461122
moves/census/ADD/groups/upper/incremental,3,165080165
moves/census/ADD/groups/upper/incremental,4,166322285
moves/census/ADD/groups/upper/incremental,5,162448506
moves/census/ADD/groups/upper/incremental,6,166623885
moves/census/ADD/groups/upper/incremental,7,167679856
moves/census/ADD/groups/upper/incremental,8,165267772
moves/census/ADD/groups/upper/incremental,9,159527360
moves/census/ADD/groups/upper/incremental,10,163442863
moves/census/ADD/groups/upper/incremental,11,164563858
moves/census/ADD/groups/upper/incremental,12,165644060
moves/census/ADD/groups/upper/incremental,13,160286754
moves/census/ADD/groups/upper/incremental,14,162116247
moves/census/ADD/groups/upper/incremental,15,165473126
moves/census/ADD/groups/upper/incremental,16,160732822
moves/census/ADD/groups/upper/incremental,17,161850331
moves/census/ADD/groups/upper/incremental,18,160544026
moves/census/ADD/groups/upper/incremental,19,166825173
moves/census/ADD/groups/upper/incremental,20,159363538
moves/census/ADD/groups/upper/incremental,21,159883448
moves/census/ADD/groups/upper/incremental,22,163487207
moves/census/ADD/groups/upper/incremental,23,169305973
moves/census/ADD/groups/upper/incremental,24,185302769
moves/census/ADD/groups/upper/incremental,25,165865606
