query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1110,92,False,,10573.12001728329,10573.120017283285,,114.9252175791662,5.161171160184856e-16,False,False,unchanged
dmv.1111,6114902,False,,6217526.241550054,6217526.241550056,,1.0167826469745638,2.995797809076221e-16,False,False,unchanged
dmv.1112,2029179,False,,2089328.0685234938,2089328.0685234936,,1.0296420712630545,1.1143804898883526e-16,False,False,unchanged
dmv.1113,1846525,False,,2051754.8401968856,2051754.8401968856,,1.111143818901388,0.0,False,False,unchanged
dmv.1114,571,False,,7111.077824847556,7111.077824847556,,12.453726488349485,0.0,False,False,unchanged
dmv.1115,10941757,False,,11069253.459678398,11069253.459678393,,1.011652283968507,5.048159271126875e-16,False,False,unchanged
dmv.1116,941166,False,,881895.23272907,881895.2327290702,,1.0672083996729562,2.640116819016735e-16,False,False,unchanged
dmv.1117,9770993,False,,9891965.369461363,9891965.369461365,,1.0123807651342462,1.8829879398702154e-16,False,False,unchanged
dmv.1118,6767,False,,24766.37118146602,24766.37118146602,,3.659874565016406,0.0,False,False,unchanged
dmv.1119,203671,False,,452492.25717898546,452492.2571789856,,2.2216823071472396,2.572758317517158e-16,False,False,unchanged
dmv.1120,1376714,False,,1500673.5563640737,1500673.5563640748,,1.0900401654694247,7.757538029056305e-16,False,False,unchanged
dmv.1121,10960226,False,,11091090.799800403,11091090.799800407,,1.0119399727524234,3.358813272477179e-16,False,False,unchanged
dmv.1122,10672707,False,,10473453.729550427,10473453.729550425,,1.0190246002507644,1.7784440522953564e-16,False,False,unchanged
dmv.1123,146120,False,,196199.45910960017,196199.4591096002,,1.3427282994087064,1.4833797498124513e-16,False,False,unchanged
dmv.1124,6154286,False,,6285942.396382175,6285942.396382177,,1.0213926353734901,2.9631915658390175e-16,False,True,fd
dmv.1125,556114,False,,873497.1910878553,873497.1910878548,,1.570716060174452,5.330999252874574e-16,False,False,unchanged
dmv.1126,10662116,False,,10735760.293333333,10735760.293333333,,1.0069070992412137,0.0,False,False,unchanged
dmv.1127,84551,False,,84521.97471278688,84521.9747127869,,1.0003434052187228,3.443344829037783e-16,False,False,unchanged
dmv.1128,11581244,False,,11665953.254763467,11665953.254763467,,1.0073143485072473,0.0,False,False,unchanged
dmv.1129,10843604,False,,10933433.286130222,10933433.286130223,,1.008284080286427,1.703623281438818e-16,False,False,unchanged
dmv.1130,2171610,False,,2099838.6537377224,2099838.6537377234,,1.0341794576142906,4.435210167017926e-16,False,False,unchanged
dmv.1131,10991140,False,,11081298.561223954,11081298.561223954,,1.0082028398531866,0.0,False,False,unchanged
dmv.1132,6150535,False,,6385046.697765882,6385046.697765885,,1.0381286664925704,4.3757984179254932e-16,False,False,unchanged
dmv.1133,870563,False,,396164.973877746,396164.97387774644,,2.1974759441218303,1.1754226597817273e-15,False,False,unchanged
dmv.1134,143456,False,,130390.88305857989,130390.88305857987,,1.1001996200574118,1.116022446280175e-16,False,False,unchanged
dmv.1135,2249094,False,,2201744.192681544,2201744.1926815445,,1.0215055897391911,2.1149654390167908e-16,False,True,fd
dmv.1136,106344,False,,62374.70727663055,62374.70727663053,,1.704921828784968,3.4994749948475294e-16,False,False,unchanged
dmv.1137,2643369,False,,2662739.495223752,2662739.4952237518,,1.0073279573240634,1.748805274203549e-16,False,False,unchanged
dmv.1138,1825682,False,,1810098.9167700764,1810098.9167700768,,1.0086089677672034,2.5725737029811654e-16,False,False,unchanged
