configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
empty,empty,13,0,0,0,,measured,0,0.12363812100011273,,
empty,empty,13,0,0,0,,measured,1,0.11587935500028834,,
empty,empty,13,0,0,0,,measured,2,0.12248646300031396,,
empty,empty,13,0,0,0,,measured,3,0.12077661100011028,,
empty,empty,13,0,0,0,,measured,4,0.12046808500053885,,
empty,empty,13,0,0,0,,measured,5,0.12465214999974705,,
empty,empty,13,0,0,0,,measured,6,0.12191196200001286,,
mcv_24_s2,mcv_only,14,24,0,24,2,warmup,0,0.22623980599928473,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,0,0.21431829699940863,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,1,0.22122537900031602,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,2,0.2254694279999967,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,3,0.21348956700057897,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,4,0.21698403899972618,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,5,0.21283910000056494,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
mcv_24_s2,mcv_only,14,24,0,24,2,measured,6,0.21283551399938005,1;2;3;4;6;7;8;10;11;12;13;18;20;21;22;24;25;26;27;28;29;30;32;34,
fd_12_s1,fd_only,15,0,12,12,1,warmup,0,0.18681229499998153,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,0,0.18635244000142848,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,1,0.18645409400050994,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,2,0.1830929739990097,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,3,0.18489811800100142,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,4,0.18883455400100502,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,5,0.18099845799952163,,1;3;6;7;10;15;17;18;19;24;26;31
fd_12_s1,fd_only,15,0,12,12,1,measured,6,0.19125469199934741,,1;3;6;7;10;15;17;18;19;24;26;31
fd_24_s1,fd_only,16,0,24,24,1,warmup,0,0.27569407100054377,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,0,0.27155072200002905,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,1,0.2907068740005343,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,2,0.27777893299935386,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,3,0.26735695299976214,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,4,0.2728259329996945,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,5,0.2801633699982631,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_24_s1,fd_only,16,0,24,24,1,measured,6,0.2813704499985761,,0;1;2;3;4;6;7;8;9;10;12;13;16;17;20;21;23;25;26;28;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,warmup,0,0.28546552900115785,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,0,0.28268047499841487,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,1,0.28063564900003257,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,2,0.28066184999988764,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,3,0.2905107379992842,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,4,0.2851577940000425,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,5,0.2830542619994958,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
fd_28_s0,fd_only,17,0,28,28,0,measured,6,0.29511580700091145,,0;1;2;3;4;5;6;7;8;9;11;12;14;16;18;19;20;21;22;23;24;25;26;30;31;32;33;34
mcv_36_s0,mcv_only,18,36,0,36,0,warmup,0,0.26718786399942474,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,0,0.2706377190006606,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,1,0.26817773500079056,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,2,0.2745153690011648,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,3,0.2953313090001757,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,4,0.3211352260004787,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,5,0.30872386999908485,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
mcv_36_s0,mcv_only,18,36,0,36,0,measured,6,0.3078704330000619,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,
fd_12_s2,fd_only,19,0,12,12,2,warmup,0,0.28046216900111176,,2;8;11;12;13;20;23;26;27;31;32;33
fd_12_s2,fd_only,19,0,12,12,2,measured,0,0.24989780800024164,,2;8;11;12;13;20;23;26;27;31;32;33
fd_12_s2,fd_only,19,0,12,12,2,measured,1,0.26971125899945037,,2;8;11;12;13;20;23;26;27;31;32;33
fd_12_s2,fd_only,19,0,12,12,2,measured,2,0.25594918000024336,,2;8;11;12;13;20;23;26;27;31;32;33
fd_12_s2,fd_only,19,0,12,12,2,measured,3,0.25876857499861217,,2;8;11;12;13;20;23;26;27;31;32;33
fd_12_s2,fd_only,19,0,12,12,2,measured,4,0.2597948490001727,,2;8;11;12;13;20;23;26;27;31;32;33
